sha256,canonical_abs_path,canonical_rel_path,filename,ext,size_bytes,width,height,root_key,subject,subject_detail,source_platform,source_collection,source_creator,source_confidence,content_kind,duplicate_count,suggested_title,suggested_image_code,db_ready,bucket,bucket_reason
0b6ade9ff3cdb22cac24c4f0bd9d7748a15f511e0957b6fd92c104bd6fa22457,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361613_xl.jpg,historical\Edlund\361613_xl.jpg,361613_xl.jpg,.jpg,1177259,1800,1458,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-0B6ADE9FF3CD,yes,needs_review,historical_compilation
2154ca95af3f356429684b265fe6a5fe4907cdc26a5d3d09afea90710a7f2f0e,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361614_xl.jpg,historical\Edlund\361614_xl.jpg,361614_xl.jpg,.jpg,1230428,1800,1510,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-2154CA95AF3F,yes,needs_review,historical_compilation
2a096d1881b23f9bd1fc731e95ccae29fffc46ec476a7d254469b1e8b437d9ec,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361615_xl.jpg,historical\Edlund\361615_xl.jpg,361615_xl.jpg,.jpg,919368,1800,1168,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-2A096D1881B2,yes,needs_review,historical_compilation
a20f7e45b1542991c64c33e39fac1fd17eaf9959cac1e8933f70dadc1dbc53b0,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361616_xl.jpg,historical\Edlund\361616_xl.jpg,361616_xl.jpg,.jpg,949034,1800,1153,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-A20F7E45B154,yes,needs_review,historical_compilation
2c69774c4501de25c92c0cfc4ca2cfff167d006127639f7e96d10e63b9f4a63e,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361617_xl.jpg,historical\Edlund\361617_xl.jpg,361617_xl.jpg,.jpg,1734595,1800,1785,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,2,Millennium Falcon - historical - historical,REF-2C69774C4501,yes,needs_review,historical_compilation
8a89da88c3addcfa8aeaad4716c5b3c4c0f7600104b35df34d1faca532f22ba0,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361618_xl.jpg,historical\Edlund\361618_xl.jpg,361618_xl.jpg,.jpg,1307935,1800,1311,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-8A89DA88C3AD,yes,needs_review,historical_compilation
1a8a22281814d129300f0b33d5e0c50b94fe1516aa76ffa476e4f08160601292,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361619_xl.jpg,historical\Edlund\361619_xl.jpg,361619_xl.jpg,.jpg,1470385,1740,1800,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-1A8A22281814,yes,needs_review,historical_compilation
818139e328a03681318b42ad24e5f2c1977ca4fc12d40556e9def0d5dbcd521e,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361620_xl.jpg,historical\Edlund\361620_xl.jpg,361620_xl.jpg,.jpg,1506965,1800,1668,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-818139E328A0,yes,needs_review,historical_compilation
82e5264bd6cd3dd085a8a34c1fba18b0d8a5ba2b58eea23bb3093baa270991e1,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361621_xl.jpg,historical\Edlund\361621_xl.jpg,361621_xl.jpg,.jpg,1661369,1800,1719,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-82E5264BD6CD,yes,needs_review,historical_compilation
1eafe292c699a395d88fd59b2c0778471cb489f890dcc348887677aa931ee2fc,D:\Documents\privat\MillenniumFalcon\mf\References\historical\Edlund\361622_xl.jpg,historical\Edlund\361622_xl.jpg,361622_xl.jpg,.jpg,1731411,1800,1762,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-1EAFE292C699,yes,needs_review,historical_compilation
1441d5993cb4aefa9cca4703cb69abdb16d4f0f72fc43726d8f514535b10d04a,D:\Documents\privat\MillenniumFalcon\mf\References\historical\40b38b59095f5ef52eb4c8a4831fd69c.jpg,historical\40b38b59095f5ef52eb4c8a4831fd69c.jpg,40b38b59095f5ef52eb4c8a4831fd69c.jpg,.jpg,71423,960,667,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-1441D5993CB4,yes,needs_review,historical_compilation
a7b7fbc489d040cfaece0fd9c839af012249b0f4252961bf8a143f20f08177c4,D:\Documents\privat\MillenniumFalcon\mf\References\historical\463c4672b63708e2ec057eaf3a1885ea.jpg,historical\463c4672b63708e2ec057eaf3a1885ea.jpg,463c4672b63708e2ec057eaf3a1885ea.jpg,.jpg,49311,720,373,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-A7B7FBC489D0,yes,needs_review,historical_compilation
83727e6f779a8ce709d33996e39b0220e5c836aa60aa9c65f5959c6b2e48add3,D:\Documents\privat\MillenniumFalcon\mf\References\historical\49642b01b5363853d1187f500cd8e2dd.jpg,historical\49642b01b5363853d1187f500cd8e2dd.jpg,49642b01b5363853d1187f500cd8e2dd.jpg,.jpg,108949,1000,668,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-83727E6F779A,yes,needs_review,historical_compilation
02babf2675b54c55391f98013cd6499af44b86e1cb7ed908a6ebcc44d162c1b5,D:\Documents\privat\MillenniumFalcon\mf\References\historical\4aa0211eea082c7c8bc3e147d26afbac.jpg,historical\4aa0211eea082c7c8bc3e147d26afbac.jpg,4aa0211eea082c7c8bc3e147d26afbac.jpg,.jpg,37397,480,640,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-02BABF2675B5,yes,needs_review,historical_compilation
71136f29d9998d135499c1094d79c2447a41d2dbd670adf7addd03ff1c4b11db,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\5' 1.jpg,historical\ssm\5' 1.jpg,5' 1.jpg,.jpg,98566,803,670,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-71136F29D999,yes,needs_review,historical_compilation
52f2a3d84f25191d3e015e0055e2676b9e00f9235480ba96ee5d5f0fbb2be90a,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\5' 2.jpg,historical\ssm\5' 2.jpg,5' 2.jpg,.jpg,101528,857,643,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-52F2A3D84F25,yes,needs_review,historical_compilation
